game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op15-067,OP15-067,Shura,Shura (OP15-067) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685417.jpg,Rare,Character,OP15-EB04,Sky Island|Vassals|Purple,0.39,https://www.tcgplayer.com/product/685417/shura,0,685417,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op14-112,OP14-112,Boa Hancock - OP14-112,Boa Hancock - OP14-112 (OP14-112) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/668342.jpg,Super Rare,Character,OP14,Kuja Pirates|The Seven Warlords of the Sea|Yellow,7.29,https://www.tcgplayer.com/product/668342/boa-hancock-op14-112,0,668342,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op14-104,OP14-104,Gecko Moria - OP14-104,Gecko Moria - OP14-104 (OP14-104) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/666574.jpg,Super Rare,Character,OP14,The Seven Warlords of the Sea|Thriller Bark Pirates|Yellow,7.42,https://www.tcgplayer.com/product/666574/gecko-moria-op14-104,0,666574,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op15-118,OP15-118,Enel (OP15-118),Enel (OP15-118) (OP15-118) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685477.jpg,Secret Rare,Character,OP15-EB04,Sky Island|Purple,21.78,https://www.tcgplayer.com/product/685477/enel-op15-118,0,685477,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op14,OP14,The Azure Sea's Seven Booster Pack,The Azure Sea's Seven Booster Pack - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/666577.jpg,None,Card,OP14,,6.69,https://www.tcgplayer.com/product/666577/the-azure-seas-seven-booster-pack,0,666577,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op15-052,OP15-052,Leo,Leo (OP15-052) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685398.jpg,Uncommon,Character,OP15-EB04,Dressrosa|The Tontattas|Blue,0.18,https://www.tcgplayer.com/product/685398/leo,0,685398,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb04-027,EB04-027,Boa Hancock - EB04-027,Boa Hancock - EB04-027 (EB04-027) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/668528.jpg,Rare,Character,OP14,Kuja Pirates|The Seven Warlords of the Sea|Blue,0.24,https://www.tcgplayer.com/product/668528/boa-hancock-eb04-027,0,668528,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op15-060,OP15-060,Enel (OP15-060),Enel (OP15-060) (OP15-060) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685408.jpg,Super Rare,Character,OP15-EB04,Sky Island|Purple,0.61,https://www.tcgplayer.com/product/685408/enel-op15-060,0,685408,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op-pr,OP-PR,Monkey.D.Luffy (Sealed Battle 2024 Vol. 2),Monkey.D.Luffy (Sealed Battle 2024 Vol. 2) - One Piece Promotion Cards,https://product-images.tcgplayer.com/fit-in/437x437/552137.jpg,Leader,Leader,OP-PR,Straw Hat Crew|Blue|Green|Purple|Red|Black|Yellow,1.31,https://www.tcgplayer.com/product/552137/monkeydluffy-sealed-battle-2024-vol-2,0,552137,17675,68,2022-09-30T00:00:00Z
one-piece,one-piece-op05-019,OP05-019,Fire Fist,Fire Fist (OP05-019) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528551.jpg,Rare,Event,OP05,Revolutionary Army|Red,1.08,https://www.tcgplayer.com/product/528551/fire-fist,0,528551,23213,68,2023-12-08T00:00:00Z
