game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op14-049,OP14-049,Jinbe - OP14-049,Jinbe - OP14-049 (OP14-049) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/668570.jpg,Super Rare,Character,OP14,Fish-Man|The Seven Warlords of the Sea|The Sun Pirates|Blue,1.29,https://www.tcgplayer.com/product/668570/jinbe-op14-049,1,668570,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op05-038,OP05-038,Charlestone,Charlestone (OP05-038) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528583.jpg,Common,Event,OP05,Donquixote Pirates|Green,0.21,https://www.tcgplayer.com/product/528583/charlestone,1,528583,23213,68,2023-12-08T00:00:00Z
one-piece,one-piece-op10-065,OP10-065,Sugar (065),Sugar (065) (OP10-065) - Royal Blood,https://product-images.tcgplayer.com/fit-in/437x437/617108.jpg,Rare,Character,OP10,Donquixote Pirates|Purple,1.07,https://www.tcgplayer.com/product/617108/sugar-065,1,617108,23766,68,2025-03-21T00:00:00Z
one-piece,one-piece-op14-090,OP14-090,Mr.1(Daz.Bonez),Mr.1(Daz.Bonez) (OP14-090) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/671422.jpg,Rare,Character,OP14,Baroque Works|Black,0.37,https://www.tcgplayer.com/product/671422/mr1dazbonez,1,671422,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op15-108,OP15-108,Nami (OP15-108) (Dash Pack),Nami (OP15-108) (Dash Pack) (OP15-108) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/686296.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Sky Island|Yellow,6.89,https://www.tcgplayer.com/product/686296/nami-op15-108-dash-pack,1,686296,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-094,OP15-094,Roronoa Zoro (OP15-094) (Dash Pack),Roronoa Zoro (OP15-094) (Dash Pack) (OP15-094) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/686295.jpg,Uncommon,Character,OP15-EB04,Straw Hat Crew|Black,2.9,https://www.tcgplayer.com/product/686295/roronoa-zoro-op15-094-dash-pack,1,686295,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op12-056,OP12-056,Monkey.D.Garp,Monkey.D.Garp (OP12-056) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643791.jpg,Super Rare,Character,OP12,Navy|Blue,0.56,https://www.tcgplayer.com/product/643791/monkeydgarp,1,643791,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-op13-027,OP13-027,Sanji,Sanji (OP13-027) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657283.jpg,Rare,Character,OP13,FILM|Straw Hat Crew|Green,0.21,https://www.tcgplayer.com/product/657283/sanji,1,657283,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op13-068,OP13-068,Douglas Bullet,Douglas Bullet (OP13-068) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657332.jpg,Common,Character,OP13,FILM|Former Roger Pirates|Purple,0.12,https://www.tcgplayer.com/product/657332/douglas-bullet,1,657332,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op15-081,OP15-081,Sanji (OP15-081),Sanji (OP15-081) (OP15-081) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685433.jpg,Uncommon,Character,OP15-EB04,Straw Hat Crew|Black,0.23,https://www.tcgplayer.com/product/685433/sanji-op15-081,1,685433,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op-pr,OP-PR,Tournament Pack 2025 Vol. 4,Tournament Pack 2025 Vol. 4 - One Piece Promotion Cards,https://product-images.tcgplayer.com/fit-in/437x437/655958.jpg,None,Card,OP-PR,,1.22,https://www.tcgplayer.com/product/655958/tournament-pack-2025-vol-4,1,655958,17675,68,2022-09-30T00:00:00Z
one-piece,one-piece-op14-118,OP14-118,You'll Frighten Me...,You'll Frighten Me... (OP14-118) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/671447.jpg,Rare,Event,OP14,Kuja Pirates|The Seven Warlords of the Sea|Yellow,0.43,https://www.tcgplayer.com/product/671447/youll-frighten-me,1,671447,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op15-074,OP15-074,Varie,Varie (OP15-074) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685424.jpg,Uncommon,Character,OP15-EB04,Sky Island|Purple,0.18,https://www.tcgplayer.com/product/685424/varie,1,685424,24637,68,2026-04-03T00:00:00Z
